Type_of_House,Property_Type,Price,Brokerage,Location,Furnish,Area_in_sqft,Bathrooms
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,1
2 BHK,Flat,25000,18000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,28000,18000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,1150,1
3 BHK,Flat,38000,19000,Kondapur,Semi Furnished,1652,2
3 BHK,Flat,38000,20000,Kondapur,Semi Furnished,1500,2
2 BHK,Flat,37000,19500,Kondapur,Fully Furnished,1300,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1250,2
3 BHK,Flat,35000,17500,Kondapur,Semi Furnished,1685,2
3 BHK,Flat,40000,28000,Kondapur,Semi Furnished,1500,2
3 BHK,Flat,42000,30000,Kondapur,Semi Furnished,1600,2
2 BHK,Flat,43000,21500,Kondapur,Fully Furnished,1250,1
1 BHK,Flat,26000,13000,Kondapur,Fully Furnished,389,1
2 BHK,Flat,40000,20000,Kondapur,Fully Furnished,1253,2
2 BHK,Flat,25000,45000,Kondapur,Unfurnished,1283,1
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1245,1
2 BHK,Flat,25000,12500,Kondapur,Semi Furnished,1175,2
2 BHK,Flat,36000,18000,Kondapur,Fully Furnished,1275,2
2 BHK,Flat,30000,15000,Kondapur,Semi Furnished,1260,2
3 BHK,Flat,40000,20000,Kondapur,Semi Furnished,1652,2
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1175,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1180,2
2 BHK,Flat,42000,31000,Kondapur,Fully Furnished,1400,1
2 BHK,Flat,25000,18000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,19000,14000,Kondapur,Semi Furnished,560,1
1 BHK,Flat,19000,14000,Kondapur,Semi Furnished,560,1
1 BHK,Flat,19000,14000,Kondapur,Semi Furnished,600,1
1 BHK,Flat,19000,9500,Kondapur,Semi Furnished,560,1
2 BHK,Flat,40000,20000,Gachibowli,Fully Furnished,1230,2
3 BHK,Flat,35000,23000,Kondapur,Semi Furnished,1358,2
3 BHK,Flat,40000,25000,Kondapur,Semi Furnished,1650,2
1 BHK,Flat,25000,16500,Kondapur,Fully Furnished,750,1
1 BHK,Flat,21000,15000,Kondapur,Fully Furnished,600,1
2 BHK,Flat,35000,21000,Kondapur,Unfurnished,1200,1
1 BHK,Flat,23000,13000,Kondapur,Fully Furnished,650,1
1 BHK,Flat,17000,8500,Kondapur,Semi Furnished,596,1
1 BHK,Flat,24500,16000,Kondapur,Fully Furnished,640,1
2 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,24500,16500,Kondapur,Fully Furnished,650,1
1 BHK,Flat,23000,18000,Kondapur,Fully Furnished,650,1
1 BHK,Flat,24000,18000,Kondapur,Fully Furnished,750,1
2 BHK,Flat,32000,23000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,36000,26000,Kondapur,Fully Furnished,1150,1
1 BHK,Flat,12000,7500,Kondapur,Unfurnished,653,1
2 BHK,Flat,35000,35000,Madhapur,Fully Furnished,1250,2
1 BHK,Flat,23000,13500,Kondapur,Fully Furnished,756,1
1 BHK,Flat,24500,15000,Kondapur,Fully Furnished,540,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,900,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,800,1
1 BHK,Flat,21000,10500,Kondapur,Semi Furnished,800,1
1 BHK,Flat,23000,11500,Kondapur,Semi Furnished,850,1
1 BHK,Flat,23000,11500,Kondapur,Semi Furnished,850,1
2 BHK,Flat,34000,17000,Kondapur,Fully Furnished,1150,2
2 BHK,Flat,28500,14250,Kondapur,Semi Furnished,1365,1
1 BHK,Flat,23000,11500,Kondapur,Semi Furnished,850,1
1 BHK,Flat,23500,11750,Kondapur,Fully Furnished,900,1
1 BHK,Flat,26000,13000,Kondapur,Fully Furnished,850,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,800,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,800,1
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,850,1
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,850,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,850,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,850,1
1 BHK,Flat,23000,11500,Kondapur,Semi Furnished,850,1
1 BHK,Flat,22000,11000,Kondapur,Fully Furnished,800,1
2 BHK,Flat,40000,20000,Kondapur,Fully Furnished,1365,2
2 BHK,Flat,40000,20000,Kondapur,Fully Furnished,1250,1
1 BHK,Flat,25000,12500,Hafeezpet,Fully Furnished,850,1
1 BHK,Flat,22000,11000,Kondapur,Fully Furnished,800,1
1 BHK,Flat,21000,10500,Kondapur,Semi Furnished,850,1
1 BHK,Flat,28000,14000,Kondapur,Fully Furnished,900,1
1 BHK,Flat,26000,13000,Kondapur,Fully Furnished,800,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,850,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,800,1
1 BHK,Flat,23000,11500,Kondapur,Semi Furnished,850,1
1 BHK,Flat,23500,11750,Kondapur,Fully Furnished,900,1
1 BHK,Flat,24500,16000,Kondapur,Fully Furnished,680,1
2 BHK,Flat,37000,18500,Kondapur,Fully Furnished,1200,2
1 BHK,Flat,14000,8500,Kondapur,Semi Furnished,745,1
1 BHK,Flat,20000,12000,Kondapur,Semi Furnished,752,1
3 BHK,Flat,36000,18000,Serilingampally,Semi Furnished,1400,2
1 BHK,Flat,26000,14000,Kondapur,Fully Furnished,756,1
2 BHK,Flat,35000,17500,Kondapur,Fully Furnished,1200,2
3 BHK,Flat,35000,16200,Kondapur,Semi Furnished,1400,2
1 BHK,Flat,17000,8500,Kondapur,Semi Furnished,539,1
1 BHK,Flat,21000,9000,Kondapur,Semi Furnished,582,1
1 BHK,Flat,19000,10000,Kothaguda,Semi Furnished,1184,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,359,1
2 BHK,Flat,45000,20000,Kondapur,Semi Furnished,1221,2
2 BHK,Flat,30000,15000,Kondapur,Semi Furnished,1185,2
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,1184,1
2 BHK,Flat,30000,15000,Kondapur,Semi Furnished,1252,2
2 BHK,Flat,30000,15000,Kondapur,Semi Furnished,1152,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1123,2
3 BHK,Flat,40000,20000,Kondapur,Semi Furnished,1623,3
2 BHK,Flat,35000,17500,Kondapur,Semi Furnished,1295,2
2 BHK,Flat,33000,16000,Kondapur,Semi Furnished,1093,2
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1252,2
2 BHK,Flat,43000,21500,Kondapur,Fully Furnished,1293,2
2 BHK,Flat,36500,18250,Kondapur,Fully Furnished,1200,1
3 BHK,Flat,43000,29000,Kondapur,Fully Furnished,1453,2
1 BHK,Flat,21000,10500,Kondapur,Semi Furnished,700,1
2 BHK,Flat,31000,15500,Kondapur,Semi Furnished,1320,1
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,750,1
1 BHK,Flat,15000,10000,Kondapur,Semi Furnished,351,1
1 BHK,Flat,24000,8200,Kondapur,Semi Furnished,545,1
2 BHK,Flat,43000,21500,Kondapur,Fully Furnished,1283,2
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,800,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,800,1
2 BHK,Flat,30000,15000,Serilingampally,Semi Furnished,1000,2
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,535,1
1 BHK,Flat,23000,18000,Kondapur,Fully Furnished,750,1
2 BHK,Flat,33000,16500,Kondapur,Fully Furnished,1150,1
1 BHK,Flat,30000,15000,Kondapur,Semi Furnished,1300,1
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,700,1
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,680,1
1 BHK,Flat,19000,9500,Kondapur,Semi Furnished,700,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,700,1
1 BHK,Flat,23500,11750,Kondapur,Fully Furnished,700,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,720,1
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,800,1
1 BHK,Flat,17500,8750,Kondapur,Semi Furnished,700,1
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,700,1
1 BHK,Flat,24500,12250,Kondapur,Fully Furnished,750,1
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,750,1
1 BHK,Flat,16000,8000,Kondapur,Semi Furnished,650,1
1 BHK,Flat,19000,9500,Kondapur,Semi Furnished,700,1
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,750,1
1 BHK,Flat,19000,9500,Kondapur,Semi Furnished,700,1
3 BHK,Flat,36000,18000,Kondapur,Semi Furnished,1400,2
1 BHK,Flat,17000,8500,Kondapur,Semi Furnished,650,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,750,1
1 BHK,Flat,21000,10500,Kondapur,Fully Furnished,510,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,524,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,560,1
1 BHK,Flat,24000,16500,Kondapur,Fully Furnished,750,1
2 BHK,Flat,42000,21000,Kondapur,Fully Furnished,1300,2
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,550,1
2 BHK,Flat,35000,17500,Kondapur,Semi Furnished,1200,1
2 BHK,Flat,36000,17000,Kondapur,Fully Furnished,1200,2
1 BHK,Flat,25000,12500,Hafeezpet,Fully Furnished,520,1
1 BHK,Flat,23001,11501,Kondapur,Fully Furnished,520,1
1 BHK,Flat,21001,10501,Kondapur,Fully Furnished,510,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,520,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,530,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,530,1
1 BHK,Flat,24000,12000,Kondapur,Fully Furnished,530,1
1 BHK,Flat,19000,14000,Kondapur,Semi Furnished,490,1
1 BHK,Flat,19000,14000,Kondapur,Semi Furnished,600,1
2 BHK,Flat,38000,27000,Kondapur,Fully Furnished,1250,1
2 BHK,Flat,40000,25000,Kondapur,Fully Furnished,1100,1
2 BHK,Flat,33000,16500,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,22000,11000,Kondapur,Fully Furnished,540,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,542,1
1 BHK,Flat,22000,11000,Kondapur,Fully Furnished,543,1
1 BHK,Flat,21000,10500,Kondapur,Fully Furnished,560,1
1 BHK,Flat,22000,11000,Kondapur,Fully Furnished,585,1
1 BHK,Flat,21000,10500,Kondapur,Fully Furnished,543,1
1 BHK,Flat,23000,11500,Kondapur,Fully Furnished,550,1
1 BHK,Flat,19000,9500,Kondapur,Semi Furnished,550,1
2 BHK,Flat,38000,19000,Kondapur,Fully Furnished,1230,2
3 BHK,Flat,70000,70000,Banjara Hills,Semi Furnished,2200,3
3 BHK,Flat,35000,17500,Kondapur,Semi Furnished,1625,3
2 BHK,Flat,37111,18556,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1150,2
1 BHK,Flat,13000,6500,Kondapur,Unfurnished,650,1
1 BHK,Flat,14000,,Kondapur,Semi Furnished,600,1
3 BHK,Flat,48000,24000,Kondapur,Fully Furnished,1500,3
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,650,1
1 BHK,Flat,16111,8056,Hafeezpet,Semi Furnished,800,1
1 BHK,Flat,14000,9000,Kondapur,Semi Furnished,864,1
2 BHK,Flat,26111,13056,Kondapur,Semi Furnished,1100,2
2 BHK,Flat,26499,13250,Kondapur,Semi Furnished,1150,2
1 BHK,Flat,15000,8500,Kondapur,Semi Furnished,758,1
2 BHK,Flat,30000,15000,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,38011,19006,Kondapur,Fully Furnished,1150,2
1 BHK,Flat,16011,8006,Hafeezpet,Semi Furnished,800,1
2 BHK,Flat,26011,13006,Kondapur,Semi Furnished,1150,2
1 RK,Flat,22000,16000,Kondapur,Fully Furnished,850,1
2 BHK,Flat,32000,21000,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,2
1 BHK,Flat,14000,10000,Kondapur,Unfurnished,600,1
1 BHK,Flat,25000,12500,Kondapur,Fully Furnished,500,1
1 BHK,Flat,27000,13500,Kondapur,Fully Furnished,650,1
3 BHK,Flat,38000,28000,Kondapur,Semi Furnished,1850,3
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,35000,17500,Kondapur,Fully Furnished,1200,2
3 BHK,Flat,40000,20000,Kondapur,Fully Furnished,1600,3
3 BHK,Flat,55000,55000,Madhapur,Semi Furnished,1800,3
1 BHK,Flat,28000,18000,Kondapur,Unfurnished,1200,1
2 BHK,Flat,35000,23000,Kondapur,Fully Furnished,1100,2
2 BHK,Flat,28000,22000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,16500,8250,Kondapur,Semi Furnished,800,1
2 BHK,Flat,26177,13089,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,26000,16500,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,27000,16000,Kondapur,Semi Furnished,1100,2
2 BHK,Flat,37000,18500,Kondapur,Fully Furnished,1250,2
2 BHK,Flat,37000,18500,Kondapur,Semi Furnished,1100,2
2 BHK,Flat,28000,22000,Kondapur,Semi Furnished,1150,2
1 BHK,Flat,12000,10000,Kondapur,Unfurnished,650,1
1 BHK,Flat,18000,15000,Kondapur,Semi Furnished,850,1
3 BHK,Flat,36000,25000,Kondapur,Semi Furnished,1950,3
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1100,2
3 BHK,Flat,39000,20000,Kondapur,Semi Furnished,1800,3
3 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1600,3
1 BHK,Flat,15777,7889,Hafeezpet,Semi Furnished,800,1
3 BHK,Flat,50000,25000,Kondapur,Fully Furnished,2000,3
1 BHK,Flat,18000,15000,Kondapur,Semi Furnished,750,1
2 BHK,Flat,33000,22000,Kondapur,Semi Furnished,1400,2
3 BHK,Flat,33000,28000,Kondapur,Semi Furnished,1600,3
3 BHK,Flat,47000,23500,Kondapur,Semi Furnished,1900,3
3 BHK,Flat,46000,23000,Kondapur,Fully Furnished,2000,3
2 BHK,Flat,27000,18000,Kondapur,Semi Furnished,1250,2
1 BHK,Flat,17000,11000,Kondapur,Unfurnished,850,1
3 BHK,Flat,40000,28000,Kondapur,Fully Furnished,1700,3
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,35000,21000,Gachibowli,Semi Furnished,1200,2
2 BHK,Flat,30000,20000,Kondapur,Fully Furnished,1200,2
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1400,2
2 BHK,Flat,31000,20000,Kondapur,Semi Furnished,1400,2
3 BHK,Flat,35000,25000,Kondapur,Semi Furnished,1950,3
2 BHK,Flat,27000,18000,Kondapur,Semi Furnished,1400,2
3 BHK,Flat,40000,20000,Kondapur,Semi Furnished,2300,3
3 BHK,Flat,32000,23000,Kondapur,Semi Furnished,1850,3
1 BHK,Flat,19111,9556,Kondapur,Semi Furnished,800,1
1 BHK,Flat,20000,10000,Kondapur,Semi Furnished,800,1
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1400,2
2 BHK,Flat,28000,19000,Kondapur,Semi Furnished,1200,2
1 BHK,Flat,15511,7756,Kondapur,Semi Furnished,800,1
1 BHK,Flat,16011,8006,Kondapur,Semi Furnished,800,1
3 BHK,Flat,35000,20000,Kondapur,Semi Furnished,1700,3
3 BHK,Flat,48000,20000,Kondapur,Semi Furnished,1800,3
2 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1100,2
2 BHK,Flat,25000,12500,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,38000,20000,Kondapur,Fully Furnished,1300,2
2 BHK,Flat,35000,20000,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,40000,20000,Kondapur,Fully Furnished,1150,2
2 BHK,Flat,35000,28000,Kondapur,Semi Furnished,1300,2
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,32000,22000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,2
3 BHK,Flat,46000,20000,Kondapur,Semi Furnished,2000,3
3 BHK,Flat,47000,28000,Kondapur,Semi Furnished,2200,3
1 BHK,Flat,20000,16000,Kondapur,Fully Furnished,750,1
2 BHK,Flat,42000,21000,Kondapur,Semi Furnished,1250,2
3 BHK,Flat,55000,27500,Kondapur,Fully Furnished,1650,3
2 BHK,Flat,29000,20000,Kondapur,Fully Furnished,1000,2
1 BHK,Flat,23500,11750,Kondapur,Fully Furnished,730,1
1 BHK,Flat,17000,8500,Kondapur,Semi Furnished,720,1
2 BHK,Flat,27500,13750,Kondapur,Semi Furnished,1380,2
3 BHK,Flat,35000,22000,Kondapur,Semi Furnished,1850,3
2 BHK,Flat,31000,20000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,36000,20000,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,30000,22000,Kondapur,Fully Furnished,1150,2
1 BHK,Flat,22000,17000,Kondapur,Semi Furnished,800,1
3 BHK,Flat,45000,28000,Kondapur,Fully Furnished,2000,3
3 BHK,Flat,45000,45000,Kondapur,Semi Furnished,1800,3
1 BHK,Flat,23500,11750,Kondapur,Fully Furnished,720,1
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1360,2
3 BHK,Flat,35000,23000,Kondapur,Semi Furnished,1750,3
2 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,32000,20000,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,33000,20000,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1300,2
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1100,2
2 BHK,Flat,40000,28000,Kondapur,Fully Furnished,1200,2
2 BHK,Flat,42000,28000,Kondapur,Fully Furnished,1200,2
2 BHK,Flat,31500,21000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,36000,20000,Kondapur,Fully Furnished,1200,2
2 BHK,Flat,35000,22000,Kondapur,Fully Furnished,1150,2
1 BHK,Flat,22000,18000,Kondapur,Fully Furnished,800,1
2 BHK,Flat,30000,22000,Kondapur,Fully Furnished,1150,2
3 BHK,Flat,40000,40000,Kondapur,Fully Furnished,1500,3
2 BHK,Flat,24000,16000,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,28000,20000,Kondapur,Semi Furnished,1250,2
2 BHK,Flat,30000,20000,Kondapur,Semi Furnished,1200,2
2 BHK,Flat,26000,18000,Kondapur,Semi Furnished,1250,1
1 BHK,Flat,16000,8000,Kondapur,Semi Furnished,350,1
2 BHK,Flat,28000,14000,Kondapur,Semi Furnished,1121,2
1 BHK,Flat,26000,13000,Kondapur,Fully Furnished,500,2
2 BHK,Flat,42000,26000,Kondapur,Fully Furnished,1250,2
2 BHK,Flat,28000,18000,Kondapur,Semi Furnished,1250,1
3 BHK,Flat,50000,32000,Kondapur,Fully Furnished,1850,3
1 BHK,Flat,17000,16500,Kondapur,Semi Furnished,650,1
1 BHK,Flat,18000,9000,Kondapur,Semi Furnished,600,1
